transaction_id,amount,transaction_time,merchant_category,customer_age,location,payment_method,previous_transactions,avg_transaction_amount,fraud
5fde428a-2cd6-4bb1-87e2-45b425aa5762,696.72,2025-08-08T14:21:22,fuel,36,Pune,debit_card,17,328.09,0
bc679b69-ff0f-4314-9d04-59d4bca957fd,521.34,2025-01-01T05:36:25,other,39,Mumbai,debit_card,25,585.59,0
6edf457c-5f9f-4a54-8078-5f4edcecdb50,186.11,2025-08-24T13:16:00,electronics,18,Pune,wallet,24,93.31,0
a5516391-2c19-402b-a719-7c0a736f6813,43.41,2025-01-05T18:57:25,electronics,51,Pune,upi,31,10.0,0
9acd262c-7091-44cd-9d01-8c9d4efef169,575.53,2025-01-10T09:27:20,entertainment,21,Delhi,debit_card,34,626.5,0
b62b96cb-a07e-44c5-8aca-5a91bcd451e3,678.93,2025-06-11T21:47:00,fuel,45,Jaipur,debit_card,26,690.82,0
df7fcd2d-d67a-4047-aac6-c03c7affc76a,321.22,2025-02-04T18:15:26,entertainment,30,Ahmedabad,debit_card,17,434.4,0
20e844e1-afcc-4000-95a7-135c5f6718e9,42.57,2025-10-19T12:19:37,entertainment,50,Kolkata,upi,29,10.0,1
2989c302-9d32-41de-9c3b-3cf397314f1b,443.97,2025-04-05T07:21:47,dining,34,Kolkata,credit_card,24,207.07,0
9b75ee15-e1c1-4538-8a98-5caec8d33e9d,1104.27,2025-08-30T02:26:20,electronics,41,Lucknow,credit_card,23,1207.47,0
610ac3ba-2a8a-491d-a44d-2c8ab057fe84,154.88,2025-06-10T05:26:37,dining,31,Mumbai,credit_card,22,32.93,0
2564f5da-af79-45b2-b5dc-b66cf956b678,395.28,2025-04-01T06:19:25,electronics,18,Mumbai,credit_card,27,10.0,0
cdae36e5-0c3c-4af6-a230-650cc5782539,318.7,2025-03-14T15:33:05,online,29,Kolkata,upi,27,110.73,0
3d43391a-3d10-4162-808b-bdfd74bde4d0,73.28,2025-07-13T13:14:38,grocery,38,Mumbai,debit_card,25,142.79,0
4b6f6cdb-29f0-4d4e-966a-f8462525ee86,130.26,2025-02-22T11:40:31,other,46,Chennai,upi,21,10.0,0
7b7bcc9d-9b63-48b0-8c74-39edb721711e,795.85,2025-01-26T05:48:27,grocery,52,Hyderabad,upi,26,352.15,0
b37b90ed-004f-450d-884a-e13eb0919ffe,401.28,2025-02-23T15:31:24,travel,33,Ahmedabad,netbanking,27,279.21,0
9d7f5ceb-3c56-49f3-9927-4e0b41a5ac51,370.62,2025-09-25T14:44:06,fuel,42,Delhi,debit_card,27,236.35,0
eebcd623-0d50-48a5-9b5e-36b3a79cf063,398.32,2025-03-25T20:50:04,entertainment,40,Jaipur,wallet,22,375.67,0
60611a65-7f99-4016-8cf9-330dc134a84c,206.37,2025-05-26T14:00:54,travel,28,Lucknow,wallet,28,190.94,0
c945fa82-f71c-4e26-bcbf-69aa0ec088a5,1290.99,2025-08-11T05:32:02,online,38,Hyderabad,debit_card,22,1165.93,0
b5d09618-59f9-44f6-a237-2ff659490467,1960.77,2025-07-14T23:44:25,online,38,Bangalore,debit_card,23,1258.84,0
4c753cd4-4228-4513-94e0-31951f442981,858.24,2025-01-10T03:36:06,grocery,18,Hyderabad,debit_card,25,520.16,0
12620fa6-1629-4975-a1e3-8c981593d74c,262.29,2025-05-04T09:44:53,online,43,Ahmedabad,upi,22,152.63,0
11bf9748-6f24-4fba-adbe-7ebfd5707f0d,172.6,2025-02-21T23:43:08,grocery,57,Delhi,credit_card,17,156.79,0
8ef889b5-9e71-4397-ac09-bc6b61e6016f,2492.42,2025-01-15T07:33:22,fuel,32,Bangalore,upi,13,2347.98,0
7b3abbe2-f71d-4c67-af3e-b9df15af2c2e,11.41,2025-02-21T23:03:12,dining,25,Pune,credit_card,21,10.0,0
b285b00e-295d-4f87-9ca7-d9f25d88e11f,753.36,2025-10-11T06:36:41,entertainment,39,Chennai,upi,23,1191.42,0
d31bcf7c-f9f7-4457-a032-ef21f57e72fe,549.55,2025-01-22T08:33:29,electronics,30,Lucknow,upi,23,858.9,0
acbf67ac-6d40-4533-942c-2303ac9e1e3d,365.37,2025-10-18T06:34:47,fuel,31,Kolkata,upi,24,185.48,0
6a0994ad-3b45-4416-bee7-fd1dfcc591b0,2226.41,2025-08-15T08:42:31,grocery,32,Mumbai,upi,25,1357.8,0
d24e8e2f-1828-4b9a-86b2-7c38c0985c08,256.62,2025-10-15T00:57:58,online,49,Chennai,upi,27,77.55,0
6948ac16-4743-4e10-8264-2d9add76f289,801.54,2025-01-28T08:41:02,dining,45,Pune,wallet,26,667.39,0
0723d4ac-d9ca-4077-a73d-6ba5ad653d5d,231.37,2025-09-25T13:39:27,grocery,21,Kolkata,credit_card,26,147.2,0
ed60a14c-1401-4abc-8fc1-057438d19d4c,1735.68,2025-05-25T12:00:08,travel,26,Pune,debit_card,33,1216.01,0
167fa91c-bef6-4e31-8ffd-2634cd3df7fd,1633.13,2025-06-25T00:15:18,other,47,Mumbai,credit_card,25,282.38,0
9de1dbcb-5fcc-4b70-a50f-3f1f617f79e3,335.33,2025-07-28T14:57:36,grocery,41,Jaipur,credit_card,28,323.52,0
4ce8f6a6-b17e-402a-8db9-92144a88e12c,153.99,2025-04-11T16:45:08,grocery,35,Chennai,debit_card,23,10.0,0
0c81bc73-db1b-43dd-9c61-28dcf3d1e5a3,912.47,2025-05-06T11:20:59,entertainment,55,Delhi,upi,19,695.02,0
5dce7de6-a2a2-4660-b972-4f4046d95b5b,204.92,2025-09-06T17:58:56,fuel,55,Mumbai,debit_card,24,164.52,0
